spec	method	path	operation_id	reason
scm	GET	/fscmRestApi/resources/11.13.18.05/captureAndValidateRecallNotices/{HeaderId}/child/captureAndValidateRecallLines/{LineId}/child/recalledLotNumbers/{LotId}/child/recalledLotSerialNumbers	getall_captureAndValidateRecallNotices-captureAndValidateRecallLines-recalledLotNumbers-recalledLotSerialNumbers	child depth 3 > 2
scm	POST	/fscmRestApi/resources/11.13.18.05/captureAndValidateRecallNotices/{HeaderId}/child/captureAndValidateRecallLines/{LineId}/child/recalledLotNumbers/{LotId}/child/recalledLotSerialNumbers	create_captureAndValidateRecallNotices-captureAndValidateRecallLines-recalledLotNumbers-recalledLotSerialNumbers	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/captureAndValidateRecallNotices/{HeaderId}/child/captureAndValidateRecallLines/{LineId}/child/recalledLotNumbers/{LotId}/child/recalledLotSerialNumbers/{SerialId}	get_captureAndValidateRecallNotices-captureAndValidateRecallLines-recalledLotNumbers-recalledLotSerialNumbers	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inboundShipments/{inboundShipmentsUniqID}/child/shipmentLines/{shipmentLinesUniqID}/child/lots/{lotsUniqID}/child/lotAttributeDFF	getall_inboundShipments-shipmentLines-lots-lotAttributeDFF	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inboundShipments/{inboundShipmentsUniqID}/child/shipmentLines/{shipmentLinesUniqID}/child/lots/{lotsUniqID}/child/lotAttributeDFF/{lotAttributeDFFUniqID}	get_inboundShipments-shipmentLines-lots-lotAttributeDFF	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inboundShipments/{inboundShipmentsUniqID}/child/shipmentLines/{shipmentLinesUniqID}/child/lots/{lotsUniqID}/child/lotSerials	getall_inboundShipments-shipmentLines-lots-lotSerials	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inboundShipments/{inboundShipmentsUniqID}/child/shipmentLines/{shipmentLinesUniqID}/child/lots/{lotsUniqID}/child/lotSerials/{lotSerialsUniqID}	get_inboundShipments-shipmentLines-lots-lotSerials	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inboundShipments/{inboundShipmentsUniqID}/child/shipmentLines/{shipmentLinesUniqID}/child/lots/{lotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialAttributeDFF	getall_inboundShipments-shipmentLines-lots-lotSerials-serialAttributeDFF	child depth 4 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inboundShipments/{inboundShipmentsUniqID}/child/shipmentLines/{shipmentLinesUniqID}/child/lots/{lotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialAttributeDFF/{serialAttributeDFFUniqID}	get_inboundShipments-shipmentLines-lots-lotSerials-serialAttributeDFF	child depth 4 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inboundShipments/{inboundShipmentsUniqID}/child/shipmentLines/{shipmentLinesUniqID}/child/lots/{lotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialStandardDFF	getall_inboundShipments-shipmentLines-lots-lotSerials-serialStandardDFF	child depth 4 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inboundShipments/{inboundShipmentsUniqID}/child/shipmentLines/{shipmentLinesUniqID}/child/lots/{lotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialStandardDFF/{serialStandardDFFUniqID}	get_inboundShipments-shipmentLines-lots-lotSerials-serialStandardDFF	child depth 4 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inboundShipments/{inboundShipmentsUniqID}/child/shipmentLines/{shipmentLinesUniqID}/child/lots/{lotsUniqID}/child/lotStandardDFF	getall_inboundShipments-shipmentLines-lots-lotStandardDFF	child depth 3 > 2
